#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
5.3005,-0.82422,-2.5438,-0.91401,4.9489,0.31716,-0.024973,0.91505,-4.6514
5.58,-0.83995,-2.5337,-0.93432,4.9965,0.37908,0.14586,0.72947,-4.7332
5.8708,-0.85539,-2.5141,-0.95451,5.0607,0.3307,-0.022489,0.77221,-4.75
6.1711,-0.87048,-2.486,-0.97451,5.1111,0.33768,0.24785,0.80189,-4.7829
6.4673,-0.88552,-2.4779,-0.99437,5.163,0.38447,0.071717,0.87486,-4.6341
6.7716,-0.90036,-2.4643,-1.0141,5.2273,0.3152,0.13002,0.79986,-4.6775
7.0845,-0.91493,-2.4454,-1.0338,5.2722,0.33802,-0.17489,0.86741,-4.7806
7.4095,-0.9291,-2.4112,-1.0532,5.3229,0.36309,0.18683,0.8479,-4.5775
7.7302,-0.94317,-2.3987,-1.0724,5.3801,0.35183,0.21059,0.7337,-4.5885
8.0625,-0.95692,-2.3744,-1.0915,5.4337,0.31606,-0.14924,0.95316,-4.7318
8.4,-0.97039,-2.3472,-1.1104,5.4772,0.37581,-0.13316,0.89497,-4.7335
8.7462,-0.98349,-2.3137,-1.1291,5.5366,0.37021,0.15321,0.70134,-4.5599
9.0997,-0.99621,-2.2786,-1.1474,5.5941,0.33246,0.11524,0.95942,-4.5863
9.4457,-1.0089,-2.2666,-1.1656,5.6407,0.37199,0.15968,0.96154,-4.6726
9.7958,-1.0214,-2.2565,-1.1837,5.6978,0.36445,0.14357,0.79784,-4.7918
10.161,-1.0336,-2.2268,-1.2016,5.7524,0.31778,0.013334,0.77062,-4.714
10.538,-1.0453,-2.1845,-1.2193,5.7937,0.38734,-0.014024,1.0008,-4.7561
10.908,-1.0568,-2.1633,-1.2367,5.8538,0.33233,0.19902,0.9224,-4.5995
11.281,-1.0682,-2.1476,-1.2539,5.8984,0.3433,0.15294,0.69456,-4.6815
11.673,-1.0791,-2.1037,-1.2709,5.9456,0.39095,0.16492,1.0069,-4.5974
12.053,-1.0899,-2.0925,-1.2877,6.0054,0.41075,0.13751,0.94923,-4.6931
12.442,-1.1005,-2.0723,-1.3044,6.0703,0.32053,-0.12436,0.7594,-4.6265
12.855,-1.1104,-2.0136,-1.3207,6.1098,0.33759,-0.011855,0.93355,-4.5462
13.259,-1.1201,-1.9802,-1.3367,6.1538,0.40201,0.21086,0.97094,-4.7846
13.659,-1.1298,-1.9644,-1.3525,6.215,0.32344,-0.21934,0.96778,-4.751
14.077,-1.1388,-1.9184,-1.368,6.2542,0.33322,0.15485,0.94883,-4.7812
14.49,-1.1477,-1.8949,-1.3833,6.2958,0.35991,0.23561,0.74799,-4.7787
14.915,-1.1562,-1.8552,-1.3983,6.3444,0.4098,0.063514,0.81966,-4.7195
15.346,-1.1643,-1.8107,-1.4129,6.4063,0.40909,-0.19107,1.0077,-4.5686
15.779,-1.172,-1.7683,-1.4272,6.4675,0.38083,-0.071338,0.74317,-4.7687
16.227,-1.179,-1.7055,-1.4411,6.5204,0.32741,0.0070846,0.80692,-4.5698
16.673,-1.1857,-1.6546,-1.4546,6.5583,0.41234,-0.23661,0.90247,-4.7113
17.125,-1.1919,-1.5964,-1.4676,6.6191,0.3259,-0.22686,0.98553,-4.6347
17.575,-1.1976,-1.5474,-1.4802,6.6558,0.35044,0.014095,0.83725,-4.7924
18.03,-1.203,-1.4985,-1.4923,6.6989,0.31829,-0.084331,0.95699,-4.7886
18.484,-1.208,-1.4551,-1.5042,6.7329,0.32005,-0.0043035,0.70672,-4.763
18.952,-1.2124,-1.3908,-1.5155,6.767,0.40715,-0.0063657,0.96419,-4.6803
19.41,-1.2165,-1.3532,-1.5265,6.8248,0.39328,0.069779,0.93711,-4.6543
19.869,-1.2204,-1.3177,-1.5372,6.8783,0.33613,0.1194,1.0093,-4.6617
20.326,-1.2242,-1.2929,-1.5476,6.9157,0.37018,0.15423,0.85429,-4.6005
20.793,-1.2275,-1.2541,-1.5578,6.9622,0.32184,-0.027841,0.71389,-4.7624
21.276,-1.2301,-1.1879,-1.5676,6.995,0.36448,-0.027995,0.70871,-4.6297
21.762,-1.2322,-1.1214,-1.5768,7.0392,0.39807,-0.17559,0.90585,-4.6421
22.244,-1.2339,-1.0656,-1.5856,7.0924,0.41164,-0.049001,0.88682,-4.6655
22.724,-1.2353,-1.0164,-1.5939,7.1488,0.34487,0.21364,0.94592,-4.6275
23.195,-1.2365,-0.99125,-1.6019,7.1864,0.35806,0.083034,0.78248,-4.5692
23.682,-1.2372,-0.94035,-1.6097,7.2274,0.34849,-0.032742,0.99526,-4.5728
24.162,-1.2377,-0.90396,-1.617,7.2654,0.31977,0.10717,0.94017,-4.6278
24.642,-1.238,-0.87129,-1.6241,7.2953,0.34516,0.076372,0.93339,-4.592
25.125,-1.238,-0.83602,-1.631,7.3318,0.33839,-0.061093,0.74947,-4.6618
25.624,-1.2373,-0.77228,-1.6374,7.3662,0.3456,-0.12348,0.80856,-4.6648
26.123,-1.2361,-0.71082,-1.6433,7.4024,0.33112,-0.11739,0.80028,-4.6318
26.624,-1.2345,-0.64938,-1.6488,7.4342,0.3514,0.16872,1.0029,-4.6268
27.105,-1.2329,-0.62888,-1.6539,7.4714,0.40598,-0.18986,0.78466,-4.6269
27.61,-1.2306,-0.5616,-1.6587,7.5232,0.39292,0.21336,0.72356,-4.712
28.107,-1.228,-0.51559,-1.663,7.5711,0.31929,0.13383,1.0102,-4.6866
28.591,-1.2254,-0.49462,-1.667,7.5984,0.34856,-0.16114,0.89057,-4.615
29.091,-1.2222,-0.44171,-1.6708,7.6334,0.33804,0.15355,0.74342,-4.7215
29.59,-1.2187,-0.39508,-1.6741,7.6654,0.33165,0.17721,0.97081,-4.7846
30.076,-1.2152,-0.37419,-1.6772,7.6953,0.41408,-0.23608,0.89621,-4.7619
30.58,-1.2111,-0.31805,-1.6799,7.7475,0.36662,0.15723,0.81721,-4.6717
31.075,-1.2068,-0.28114,-1.6823,7.7864,0.41312,-0.080728,0.74137,-4.7078
31.582,-1.2019,-0.22073,-1.6843,7.8377,0.40336,-0.24687,0.96312,-4.7739
32.082,-1.1968,-0.17283,-1.6859,7.8859,0.36174,0.2272,0.95723,-4.7193
32.567,-1.1917,-0.15724,-1.6872,7.9223,0.35901,-0.17498,0.71611,-4.6308
33.078,-1.1859,-0.090047,-1.6882,7.9577,0.34099,0.14309,0.84854,-4.618
33.57,-1.18,-0.059103,-1.6888,7.9878,0.40213,0.2471,1.014,-4.715
34.05,-1.1742,-0.052981,-1.6893,8.0345,0.35165,-0.1116,0.76449,-4.6317
34.554,-1.1678,0.002657,-1.6895,8.0669,0.35877,0.028689,0.75398,-4.6166
35.054,-1.1611,0.048974,-1.6893,8.1011,0.40876,0.029645,0.82371,-4.7891
35.549,-1.1541,0.087433,-1.6887,8.1487,0.41109,-0.18,0.75763,-4.6458
36.053,-1.1467,0.1458,-1.6878,8.1965,0.39175,-0.1249,0.91726,-4.6128
36.546,-1.1391,0.18272,-1.6865,8.2387,0.3506,-0.0022463,0.99488,-4.7667
37.028,-1.1314,0.20263,-1.6849,8.2692,0.35487,0.21344,0.75143,-4.5794
37.517,-1.1235,0.23209,-1.6832,8.3007,0.31813,-0.13206,0.9238,-4.7334
38.005,-1.1154,0.26636,-1.6812,8.3218,0.31661,0.24363,0.99386,-4.6253
38.477,-1.1075,0.2667,-1.6791,8.3424,0.41055,-0.10946,0.715,-4.5863
38.973,-1.0989,0.31914,-1.6767,8.3885,0.40272,0.24291,0.72331,-4.5693
39.457,-1.0903,0.34574,-1.6741,8.4322,0.35793,0.20817,0.91728,-4.6602
39.929,-1.0818,0.35367,-1.6713,8.4632,0.36469,0.16777,0.81485,-4.5906
40.406,-1.0731,0.37398,-1.6684,8.4958,0.40604,-0.0019067,0.90008,-4.6442
40.883,-1.0643,0.39604,-1.6653,8.5395,0.36975,-0.086057,0.87886,-4.6606
41.362,-1.0553,0.42505,-1.662,8.5729,0.41219,-0.073038,0.75607,-4.5679
41.846,-1.0459,0.46476,-1.6584,8.6177,0.34751,0.056131,0.86615,-4.7051
42.317,-1.0365,0.48341,-1.6546,8.6444,0.3868,0.1558,0.93425,-4.6554
42.779,-1.0273,0.4871,-1.6507,8.6816,0.3613,-0.029834,0.95735,-4.5583
43.245,-1.0179,0.49979,-1.6468,8.7115,0.34567,0.11321,0.96173,-4.6064
43.703,-1.0087,0.50144,-1.6428,8.737,0.32177,-0.00064442,0.93372,-4.7084
44.165,-0.99933,0.51301,-1.6387,8.7556,0.31479,0.24296,0.79774,-4.6983
44.625,-0.98998,0.52126,-1.6346,8.7722,0.40003,-0.15437,0.85537,-4.5839
45.092,-0.98036,0.54917,-1.6303,8.8121,0.3368,0.21026,1.0067,-4.6014
45.537,-0.97111,0.53557,-1.626,8.8343,0.40527,0.21218,0.72301,-4.5794
45.996,-0.96164,0.55052,-1.6216,8.875,0.38267,-0.035987,0.97796,-4.6153
46.447,-0.95225,0.55473,-1.6172,8.9093,0.33539,0.22212,0.80503,-4.6947
46.898,-0.94288,0.55871,-1.6128,8.9303,0.31558,-0.12885,0.9983,-4.6087
47.346,-0.93351,0.56515,-1.6083,8.9458,0.41137,0.17967,0.92941,-4.5787
47.787,-0.92431,0.55687,-1.6038,8.9873,0.38795,0.0025066,0.72355,-4.7231
48.243,-0.9148,0.58146,-1.5992,9.0222,0.32382,-0.096831,0.84631,-4.604
48.693,-0.90526,0.59866,-1.5945,9.0391,0.38288,0.027667,0.73572,-4.6206
49.144,-0.89559,0.61797,-1.5896,9.0721,0.40347,0.18786,0.78837,-4.6062
49.583,-0.88604,0.61987,-1.5847,9.1105,0.35618,-0.064289,0.8221,-4.6463
50.028,-0.87638,0.63442,-1.5797,9.1356,0.33478,0.11004,0.88961,-4.7663
50.46,-0.86691,0.62936,-1.5746,9.1547,0.33,-0.2349,0.86957,-4.7207
50.903,-0.85723,0.6487,-1.5695,9.1723,0.3218,0.11611,0.96136,-4.6512
51.327,-0.84787,0.63351,-1.5644,9.1875,0.37891,-0.16244,0.81134,-4.6605
