#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
0.033744,-0.1883,-1.8013,-0.18332,6.8101,0.44392,-1.2791,0.99379,-5.5944
0.10596,-0.2015,-1.7797,-0.19764,6.8776,0.40443,2.0921,-0.48706,-2.8212
0.15823,-0.2152,-1.8363,-0.21211,6.9338,0.40343,4.4296,1.9783,-5.4664
0.0031364,-0.23462,-2.3012,-0.22866,6.9892,0.58722,2.7322,-0.18186,-2.7486
0.032696,-0.25316,-2.4274,-0.24757,7.0946,0.49163,4.3254,1.9949,-4.8714
-0.10294,-0.27691,-2.8817,-0.26881,7.1729,0.58597,2.3222,1.3716,-3.1277
-0.12833,-0.30154,-3.1347,-0.29288,7.2765,0.39361,3.703,0.056693,-5.8692
-0.11571,-0.32731,-3.3345,-0.31876,7.3265,0.43159,-0.60554,1.1854,-3.55
-0.016623,-0.35246,-3.362,-0.34555,7.3866,0.3974,-2.0528,1.9422,-3.2366
0.096182,-0.3775,-3.3685,-0.37247,7.4367,0.41232,1.2797,-0.13385,-5.4742
0.22593,-0.40231,-3.3767,-0.39945,7.4906,0.59764,1.6277,0.77334,-5.0157
0.30354,-0.42857,-3.5014,-0.42697,7.5949,0.59987,-1.2811,-0.6202,-3.762
0.5625,-0.45128,-3.2835,-0.45411,7.6989,0.51683,-1.4641,1.1486,-4.7148
0.73624,-0.47443,-3.2344,-0.48018,7.7794,0.5588,-3.266,0.63014,-5.3861
1.0047,-0.49481,-3.0057,-0.50514,7.8707,0.39641,-1.5384,1.258,-5.4438
1.1895,-0.51558,-2.9583,-0.529,7.9167,0.4007,1.0334,1.5831,-6.2286
1.2813,-0.53843,-3.1153,-0.5533,7.9636,0.41697,-4.1934,1.7213,-4.0509
1.543,-0.5582,-2.9347,-0.5775,8.0145,0.57057,3.3189,2.1394,-6.5748
1.5466,-0.58327,-3.2995,-0.60244,8.1072,0.47822,-1.0183,-0.29025,-5.1035
1.8359,-0.60403,-3.1163,-0.6281,8.1738,0.58719,3.4997,0.15973,-3.2713
1.9633,-0.62762,-3.2883,-0.65372,8.2698,0.57737,-1.1582,0.28602,-4.3493
2.2425,-0.64869,-3.1529,-0.67949,8.3623,0.40408,2.5053,1.3477,-3.5563
2.3532,-0.67309,-3.3764,-0.70561,8.4065,0.4885,-3.0577,0.57486,-5.1777
2.6948,-0.69336,-3.1359,-0.73166,8.4735,0.47434,2.8745,1.0345,-5.5152
2.8276,-0.7172,-3.3431,-0.75758,8.5361,0.57608,-2.4303,1.1389,-6.1337
3.1345,-0.73823,-3.1977,-0.78374,8.6262,0.51117,-3.4431,-0.2313,-6.4424
3.5575,-0.75521,-2.8387,-0.80788,8.6977,0.57784,-4.9082,0.43455,-3.1839
3.9967,-0.76898,-2.4567,-0.82907,8.7869,0.52187,4.224,-0.053235,-5.4239
4.1739,-0.78659,-2.6374,-0.84944,8.8601,0.55627,-3.5001,-0.33708,-5.153
4.6223,-0.79867,-2.2639,-0.86905,8.9421,0.3977,-4.3381,-0.53973,-6.6296
5.1118,-0.80675,-1.8099,-0.88534,8.9799,0.46647,-0.34497,-0.27708,-3.8837
5.4616,-0.81491,-1.6604,-0.89923,9.0364,0.38494,-0.92829,1.19,-3.0415
5.7521,-0.8234,-1.6262,-0.91237,9.07,0.55769,-0.89412,-0.52773,-3.347
6.1407,-0.8292,-1.4137,-0.92453,9.1507,0.43869,-0.51038,1.8022,-4.7068
6.3893,-0.83685,-1.4677,-0.93606,9.1981,0.57026,-1.1895,0.05872,-3.0798
6.7612,-0.84189,-1.2963,-0.94711,9.2813,0.47076,2.1066,0.43951,-4.9343
7.0079,-0.84882,-1.3841,-0.95784,9.3365,0.61288,-1.0569,0.31991,-2.7566
7.3674,-0.8536,-1.2488,-0.96837,9.4302,0.52769,-4.3156,-0.49891,-3.1475
7.8788,-0.85342,-0.80686,-0.97659,9.4999,0.5382,2.8868,0.58915,-5.5465
8.0974,-0.85729,-0.96277,-0.98367,9.5718,0.48153,-0.95433,0.56032,-3.6247
8.4446,-0.85912,-0.8587,-0.99095,9.6277,0.43469,0.91203,1.7416,-4.6271
8.6674,-0.86332,-1.0023,-0.9984,9.6702,0.44298,3.9172,2.0954,-5.8009
8.7772,-0.87162,-1.3826,-1.0079,9.7147,0.51362,-4.3156,-0.14306,-6.4906
9.2807,-0.87287,-0.96844,-1.0173,9.7782,0.43837,-0.8186,-0.55265,-4.1659
9.6954,-0.8732,-0.75473,-1.0242,9.8205,0.44905,-1.2372,1.5071,-3.73
10.01,-0.87437,-0.7294,-1.0302,9.8655,0.40076,3.1557,-0.51798,-4.3389
10.297,-0.87618,-0.78878,-1.0362,9.8968,0.42715,-2.4093,1.7959,-3.5471
10.636,-0.87703,-0.71417,-1.0423,9.9351,0.55762,4.8811,1.5517,-3.0992
10.757,-0.88303,-1.1086,-1.0495,10.009,0.3896,3.7008,1.692,-5.1445
10.913,-0.89129,-1.4311,-1.0597,10.036,0.43793,4.5862,1.0262,-4.5711
11.082,-0.90185,-1.743,-1.0724,10.076,0.54104,3.9699,0.46608,-6.0281
11.309,-0.91348,-1.9493,-1.0872,10.144,0.51147,2.4542,1.3706,-5.2186
11.54,-0.92666,-2.147,-1.1036,10.204,0.55184,-4.7934,0.40748,-5.354
12.064,-0.93391,-1.7513,-1.1192,10.274,0.4042,2.3823,1.3477,-4.0213
12.308,-0.9453,-1.9431,-1.1339,10.303,0.56555,4.1768,1.7134,-4.2629
12.481,-0.96014,-2.2919,-1.1509,10.376,0.42683,3.6843,-0.4071,-6.6022
12.794,-0.97424,-2.3783,-1.1696,10.41,0.39837,2.4627,1.7172,-5.9149
13.036,-0.99087,-2.6032,-1.1895,10.437,0.4757,-1.8991,0.1339,-5.4615
