#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
9355.6,-0.67468,0.32485,-4.7541,12.876,0.31076,0.030763,0.6912,-3.5555
9355.8,-0.67421,0.34324,-4.7515,12.859,0.30177,-0.062561,0.79681,-4.7291
9356.1,-0.67366,0.35925,-4.7486,12.839,0.44839,0.00081511,1.0565,-5.7319
9356.3,-0.67341,0.34586,-4.7458,12.86,0.41061,0.030402,0.92721,-4.8395
9356.6,-0.67311,0.34212,-4.7431,12.87,0.30481,-0.0371,0.76939,-4.4165
9356.9,-0.67256,0.35851,-4.7403,12.851,0.27873,-0.0032496,0.66186,-3.615
9357.1,-0.67177,0.38203,-4.7373,12.825,0.32501,-0.0073528,0.77662,-4.2645
9357.4,-0.67096,0.39502,-4.7342,12.812,0.48836,0.093053,1.0255,-4.9702
9357.6,-0.67048,0.37661,-4.7311,12.844,0.42343,0.04831,0.93312,-4.7564
9357.8,-0.66998,0.37044,-4.7281,12.858,0.35094,0.030541,0.78628,-4.0733
9358.1,-0.66932,0.37933,-4.7251,12.852,0.43343,0.047276,0.95811,-4.8988
9358.3,-0.66884,0.3708,-4.7221,12.868,0.32712,-0.10002,0.90751,-5.5711
9358.6,-0.66824,0.3789,-4.7191,12.855,0.32176,-0.027309,0.79606,-4.4984
9358.8,-0.66748,0.39137,-4.716,12.841,0.36787,0.013704,0.84908,-4.5226
9359.1,-0.66674,0.39546,-4.7129,12.84,0.26638,-0.048151,0.69375,-4.0768
9359.3,-0.66571,0.4189,-4.7096,12.81,0.52575,0.078921,1.1329,-5.6443
9359.6,-0.66521,0.39102,-4.7064,12.853,0.28825,-0.014521,0.69964,-3.8926
9359.8,-0.66426,0.41106,-4.7032,12.829,0.44281,0.088222,0.9246,-4.4535
9360,-0.66356,0.40167,-4.6999,12.849,0.44268,0.048892,0.97774,-4.9949
9360.3,-0.66297,0.3905,-4.6968,12.868,0.46236,0.019111,1.0646,-5.6583
9360.5,-0.66257,0.37367,-4.6937,12.892,0.25476,-0.075532,0.70355,-4.3061
9360.7,-0.66173,0.39811,-4.6906,12.859,0.30408,-0.040323,0.77204,-4.4516
9361,-0.66083,0.41313,-4.6874,12.84,0.40498,0.065887,0.86572,-4.2774
9361.2,-0.66003,0.41068,-4.6841,12.849,0.44992,0.034819,1.0139,-5.282
9361.4,-0.65943,0.39689,-4.6809,12.87,0.50043,0.059206,1.0999,-5.5923
9361.7,-0.65909,0.37314,-4.6778,12.905,0.26125,-0.053531,0.68897,-4.0855
9361.9,-0.65828,0.39681,-4.6747,12.874,0.28395,-0.073743,0.76996,-4.6553
9362.1,-0.65737,0.4144,-4.6715,12.849,0.30147,-0.078699,0.81803,-4.9481
9362.4,-0.6564,0.42775,-4.6681,12.829,0.37604,0.07043,0.79128,-3.844
9362.6,-0.65542,0.43134,-4.6647,12.83,0.3646,-0.0033273,0.86452,-4.7159
9362.8,-0.65446,0.43399,-4.6612,12.828,0.36487,-0.040017,0.91501,-5.226
9363.1,-0.65352,0.43481,-4.6577,12.826,0.36264,-0.054835,0.92988,-5.4021
9363.3,-0.65259,0.43536,-4.6542,12.823,0.35721,-0.095935,0.97293,-5.9001
9363.5,-0.65168,0.43514,-4.6508,12.819,0.34094,-0.01676,0.82696,-4.5984
9363.7,-0.65065,0.44198,-4.6472,12.81,0.34618,0.066645,0.72599,-3.5138
9364,-0.6495,0.45131,-4.6437,12.803,0.37956,-0.03972,0.94925,-5.4101
9364.2,-0.64851,0.44835,-4.6401,12.805,0.29201,-0.036265,0.73806,-4.241
9364.4,-0.64726,0.46466,-4.6364,12.783,0.30133,-0.061186,0.7939,-4.7045
9364.6,-0.64594,0.4776,-4.6326,12.764,0.34857,-0.07046,0.91793,-5.4376
9364.9,-0.6447,0.47957,-4.6288,12.758,0.41526,0.007673,0.96908,-5.213
9365.1,-0.64358,0.47032,-4.625,12.77,0.27963,-0.063,0.74519,-4.4517
9365.3,-0.64218,0.48755,-4.6212,12.745,0.48087,0.026974,1.0976,-5.7868
9365.5,-0.64121,0.4645,-4.6174,12.776,0.38101,0.01245,0.8818,-4.7083
9365.7,-0.64012,0.46269,-4.6137,12.778,0.30099,-0.054141,0.78352,-4.6028
9365.9,-0.63886,0.47532,-4.6099,12.759,0.47863,0.033301,1.0837,-5.6707
9366.1,-0.63799,0.45277,-4.6062,12.789,0.34525,0.048734,0.74813,-3.7492
9366.4,-0.63686,0.46018,-4.6026,12.782,0.33251,-0.084474,0.8991,-5.4255
9366.6,-0.63578,0.46421,-4.5989,12.771,0.3697,-0.0042094,0.87775,-4.7934
9366.8,-0.63471,0.46359,-4.5951,12.771,0.37963,0.003922,0.89013,-4.8084
9367,-0.63367,0.46105,-4.5914,12.773,0.47498,0.10044,0.98389,-4.6969
9367.2,-0.63288,0.44188,-4.5878,12.802,0.46726,0.092462,0.97652,-4.7082
9367.4,-0.63222,0.42405,-4.5844,12.828,0.38242,-0.049258,0.96895,-5.5784
9367.6,-0.63158,0.41843,-4.581,12.831,0.39626,0.062354,0.84995,-4.2145
9367.8,-0.63091,0.41478,-4.5777,12.837,0.21581,-0.068165,0.60166,-3.7055
9368,-0.62983,0.44475,-4.5742,12.794,0.25989,-0.014816,0.63314,-3.5334
9368.2,-0.6286,0.46722,-4.5706,12.763,0.42482,0.021181,0.97325,-5.1488
9368.4,-0.62771,0.45493,-4.5669,12.778,0.39618,0.06845,0.84147,-4.1293
9368.6,-0.62678,0.45102,-4.5633,12.785,0.38497,-0.014274,0.92745,-5.1281
9368.8,-0.62593,0.44576,-4.5597,12.789,0.33975,-0.028409,0.83999,-4.744
9369,-0.625,0.44971,-4.5561,12.78,0.45345,0.0791,0.96211,-4.7158
9369.2,-0.6243,0.43348,-4.5526,12.803,0.28687,0.012872,0.65916,-3.4966
9369.4,-0.62326,0.45078,-4.549,12.779,0.28272,-0.029136,0.70644,-4.0235
9369.6,-0.62213,0.46692,-4.5454,12.755,0.3293,0.035818,0.72806,-3.7232
9369.8,-0.62095,0.47559,-4.5416,12.744,0.287,-0.011261,0.69227,-3.8316
9370,-0.61963,0.49125,-4.5377,12.721,0.46508,0.040854,1.0415,-5.3929
9370.2,-0.61872,0.47002,-4.5339,12.747,0.46512,0.039718,1.0431,-5.4091
9370.4,-0.61799,0.44873,-4.5302,12.773,0.37995,-0.012905,0.91375,-5.0448
9370.6,-0.6172,0.44376,-4.5266,12.776,0.34571,0.006981,0.80595,-4.3316
9370.7,-0.61633,0.44715,-4.5231,12.769,0.34228,0.020572,0.77941,-4.1001
9370.9,-0.61541,0.45179,-4.5195,12.761,0.36344,0.066429,0.76699,-3.7378
9371.1,-0.61448,0.45375,-4.5159,12.759,0.46102,0.025501,1.0528,-5.5529
9371.3,-0.6139,0.43237,-4.5123,12.784,0.29509,-0.10135,0.83374,-5.1791
9371.5,-0.61309,0.44168,-4.5088,12.763,0.34374,-0.0084595,0.82228,-4.5196
9371.7,-0.61227,0.4444,-4.5053,12.755,0.50608,0.10784,1.0472,-4.9931
9371.8,-0.61184,0.41668,-4.5018,12.793,0.41529,0.047874,0.91451,-4.6582
9372,-0.6114,0.40624,-4.4985,12.805,0.49975,0.10306,1.0387,-4.9779
9372.2,-0.61126,0.37978,-4.4954,12.84,0.32599,0.031753,0.72578,-3.737
